student_id,subject,factor_1,factor_2,factor_3,gpa
S001,Math,9.6;9.5,8.7,8.8,8.99
S001,Literature,9.1;9.6,9.9,9.1,9.4
S001,English,8.7;9.2,9.6,8.9,9.11
S001,Physics,9.3;9.1,8.7,9.4,9.14
S001,Chemistry,9.9;8.3,8.5,9.1,8.93
S001,Biology,9.5;9.4,10.0,9.6,9.67
S001,History,9.0;9.0,9.5,9.0,9.14
S001,Geography,8.7;8.9,9.7,9.5,9.36
S002,Math,6.1;3.3,4.2,5.7,4.99
S002,Literature,6.2;6.3,4.5,5.3,5.34
S002,English,5.6;3.3,5.8,5.1,5.11
S002,Physics,3.9;5.0,5.8,5.6,5.33
S002,Chemistry,5.7;4.7,4.2,3.4,4.14
S002,Biology,3.4;4.3,3.9,5.3,4.49
S002,History,6.5;6.4,4.0,4.4,4.87
S002,Geography,6.4;3.9,3.6,5.5,4.86
S003,Math,8.5;8.9,9.3,8.8,8.91
S003,Literature,8.6;9.7,9.5,10.0,9.61
S003,English,8.9;8.3,8.6,9.6,9.03
S003,Physics,9.8;9.2,9.6,8.6,9.14
S003,Chemistry,8.4;9.3,9.9,9.1,9.26
S003,Biology,8.6;8.9,8.2,8.8,8.61
S003,History,8.1;9.4,9.8,9.5,9.37
S003,Geography,8.4;10.0,9.3,9.3,9.27
S004,Math,6.8;7.3,5.7,8.3,7.2
S004,Literature,7.7;8.4,6.3,5.7,6.54
S004,English,5.9;5.6,7.7,6.6,6.67
S004,Physics,7.5;5.9,5.8,5.4,5.89
S004,Chemistry,7.4;8.4,7.4,8.4,7.97
S004,Biology,6.8;6.7,6.8,5.6,6.27
S004,History,7.2;7.9,7.0,8.1,7.63
S004,Geography,5.8;8.5,7.9,6.4,7.04
S005,Math,7.9;7.3,7.5,6.2,6.97
S005,Literature,6.8;6.0,7.2,7.4,7.06
S005,English,8.2;7.0,5.5,8.1,7.21
S005,Physics,7.1;7.7,7.3,5.3,6.47
S005,Chemistry,5.8;6.5,7.1,5.8,6.27
S005,Biology,7.1;6.8,6.3,7.8,7.13
S005,History,5.6;8.2,7.3,6.7,6.93
S005,Geography,7.0;7.3,7.0,7.1,7.09
S006,Math,6.1;6.7,5.5,6.7,6.27
S006,Literature,7.0;5.9,6.0,7.2,6.64
S006,English,7.2;7.4,6.6,8.2,7.49
S006,Physics,6.5;6.6,5.5,7.3,6.57
S006,Chemistry,6.8;6.5,6.3,6.4,6.44
S006,Biology,6.7;8.4,7.2,7.9,7.6
S006,History,7.3;7.4,7.5,7.2,7.33
S006,Geography,7.6;6.5,6.5,7.7,7.17
S007,Math,7.6;6.2,5.2,5.6,5.86
S007,Literature,6.4;6.9,5.1,8.1,6.83
S007,English,7.9;7.7,5.7,6.4,6.6
S007,Physics,8.1;8.5,6.5,7.6,7.49
S007,Chemistry,6.2;6.6,5.7,8.2,6.97
S007,Biology,8.5;8.4,7.9,8.0,8.1
S007,History,7.4;8.1,6.2,6.9,6.94
S007,Geography,8.3;6.5,6.9,7.8,7.43
S008,Math,8.5;9.1,8.0,8.8,8.57
S008,Literature,9.5;9.6,9.8,8.8,9.3
S008,English,9.1;8.7,8.8,9.3,9.04
S008,Physics,9.2;9.0,8.2,9.0,8.8
S008,Chemistry,9.4;9.6,9.2,10.0,9.63
S008,Biology,9.5;9.3,8.9,8.9,9.04
S008,History,10.0;9.7,8.2,9.2,9.1
S008,Geography,9.6;9.8,8.2,9.2,9.06
S009,Math,7.0;8.4,7.5,5.1,6.53
S009,Literature,6.5;8.3,7.7,6.4,7.06
S009,English,6.6;8.1,6.8,7.1,7.09
S009,Physics,5.6;8.3,5.1,5.8,5.93
S009,Chemistry,5.7;7.2,5.1,7.0,6.3
S009,Biology,7.5;6.7,5.6,7.9,7.01
S009,History,8.0;8.1,6.3,8.3,7.66
S009,Geography,8.2;6.4,6.2,7.3,6.99
S010,Math,8.1;7.9,6.6,5.8,6.66
S010,Literature,6.9;7.7,5.9,8.1,7.24
S010,English,6.2;6.2,6.1,7.3,6.64
S010,Physics,7.8;7.4,7.3,6.8,7.17
S010,Chemistry,7.8;8.0,6.2,6.8,6.94
S010,Biology,7.2;6.2,6.6,5.8,6.29
